Source,Target
793,74
804,893
463,377
533,828
622,687
735,745
600,122
142,593
950,574
834,725
909,456
332,513
881,968
39,900
54,406
671,151
428,646
842,184
599,703
211,905
807,688
200,233
519,108
367,598
309,987
675,27
800,547
430,756
602,801
33,759
492,834
445,608
280,841
844,60
539,401
655,404
512,242
325,568
17,701
683,424
632,143
359,48
243,700
214,546
487,787
743,704
535,426
570,152
248,85
301,327
209,486
476,824
107,415
710,415
708,641
716,168
673,226
391,145
587,73
609,505
624,145
453,810
531,517
190,256
760,295
952,491
120,615
225,889
62,719
124,394
202,738
529,895
986,885
719,500
549,350
365,836
915,627
16,164
199,166
803,543
60,155
979,555
713,928
936,110
542,563
796,375
351,157
378,984
191,643
616,947
387,893
786,371
220,841
192,620
141,477
230,647
92,877
156,692
914,625
216,549
856,231
63,374
238,527
499,222
366,361
777,691
56,75
848,89
870,316
527,123
785,924
372,23
732,58
109,124
244,418
760,636
350,118
895,343
536,86
198,430
496,919
708,32
821,64
224,971
565,699
746,30
62,838
246,829
605,583
264,322
537,69
91,511
953,181
469,506
905,149
240,601
924,698
502,88
53,955
545,857
6,140
117,687
197,847
464,296
365,186
550,100
483,495
208,302
597,644
994,330
872,321
764,951
131,868
731,219
784,775
492,454
813,833
272,797
154,167
162,137
69,780
238,812
987,758
763,381
477,354
86,163
614,98
106,201
606,715
995,943
515,432
898,388
144,223
9,809
585,130
47,983
554,94
15,89
771,29
247,681
898,583
159,265
531,227
489,585
465,250
51,458
742,255
652,258
153,150
433,270
941,60
669,254
617,939
266,357
348,880
263,358
518,740
749,309
784,586
414,571
419,891
741,319
739,923
472,677
910,548
137,400
371,118
132,596
347,694
575,21
653,822
995,103
127,820
271,520
59,445
925,930
490,329
298,278
988,344
290,332
713,526
277,876
922,981
717,825
631,723
434,234
501,959
252,740
611,262
753,363
358,773
879,926
853,355
81,415
117,399
564,791
54,450
989,146
621,31
221,629
201,373
402,273
591,643
827,580
139,388
243,333
385,473
975,831
878,320
822,721
962,312
640,490
249,37
267,2
310,558
874,891
781,145
10,177
927,851
633,561
861,364
1,911
526,376
135,865
722,3
813,991
252,429
846,696
831,797
859,693
382,450
630,878
660,601
46,903
348,816
981,679
282,265
61,494
889,417
172,709
204,222
391,809
439,70
268,26
896,286
805,389
188,689
902,405
680,926
217,503
934,594
253,258
389,761
980,514
1000,303
664,826
31,684
457,289
371,279
818,582
635,346
459,901
670,657
194,741
523,24
579,386
920,888
752,400
960,305
507,493
534,28
262,115
551,603
203,937
396,176
848,942
814,922
331,602
423,466
613,726
886,147
272,294
867,19
86,904
67,907
189,912
890,28
741,474
714,90
508,147
695,715
361,564
957,247
625,623
776,337
134,556
315,588
754,990
645,229
862,281
173,492
987,201
442,479
13,383
282,128
994,112
467,113
550,756
789,645
326,408
634,465
524,621
875,492
682,403
676,985
541,472
997,967
353,908
794,188
349,630
95,131
811,185
886,119
170,977
958,728
103,233
179,376
892,413
566,873
879,326
134,573
638,618
606,411
286,80
969,705
447,51
55,957
697,50
36,628
193,612
963,762
189,104
735,639
989,57
889,425
913,233
260,328
850,86
298,49
450,694
809,922
917,154
651,738
407,782
178,450
642,486
790,383
848,564
407,612
768,770
843,60
724,951
569,976
869,482
196,480
462,212
783,882
126,778
510,946
618,672
185,283
397,555
674,855
239,5
223,944
291,102
815,142
895,784
736,862
45,538
99,116
52,160
133,322
925,766
492,35
323,308
356,485
961,304
625,881
392,218
214,863
483,706
274,21
314,169
567,835
40,78
251,990
42,237
680,835
489,410
559,339
259,174
663,759
473,79
916,180
961,528
729,942
410,835
22,65
832,96
34,552
945,466
666,105
280,82
205,408
171,969
532,126
315,125
656,165
254,40
78,947
938,541
736,51
245,484
648,334
711,817
131,386
285,735
38,13
420,854
755,730
161,84
395,1000
292,63
464,161
837,914
577,278
999,921
431,881
935,783
580,154
342,459
360,792
449,953
398,24
808,128
993,393
539,388
66,685
822,982
978,478
1,590
918,784
313,215
175,607
788,317
72,823
250,497
560,852
803,5
837,745
250,210
803,284
241,446
926,138
523,661
948,819
270,119
47,809
929,222
706,748
649,490
849,846
276,381
573,412
363,840
523,208
298,767
688,470
171,269
463,182
38,643
421,1000
584,380
610,148
964,504
532,260
956,474
306,543
654,243
525,110
149,489
235,297
781,126
784,830
384,619
799,700
398,181
774,66
12,942
348,416
322,852
434,377
832,444
697,87
978,77
9,863
752,130
776,229
630,324
944,711
976,932
765,161
630,132
206,196
508,14
68,262
642,293
311,438
839,614
285,381
362,130
873,961
69,142
261,668
488,592
831,806
680,201
884,97
530,341
931,250
530,745
44,235
510,222
285,441
858,791
96,472
322,644
422,288
998,4
136,686
721,440
307,755
460,300
580,391
293,451
572,639
542,974
41,488
897,577
976,684
209,848
105,530
917,291
942,883
949,322
362,445
505,839
887,580
784,567
866,653
65,522
488,477
873,170
906,530
576,335
540,757
322,234
115,721
711,685
569,553
309,446
688,136
393,261
526,883
291,56
798,549
973,282
43,756
958,430
443,409
510,912
549,494
976,913
250,38
658,420
158,229
809,770
759,257
440,318
728,466
207,832
338,377
970,111
439,612
338,436
482,461
34,557
866,482
137,737
195,222
845,171
452,860
712,540
376,747
172,304
612,917
654,240
953,991
408,799
481,148
377,892
680,76
720,871
335,148
261,738
368,345
884,772
340,232
770,883
498,194
238,60
25,461
259,744
540,239
804,290
9,201
272,270
142,440
745,892
595,77
387,18
752,866
541,338
408,490
8,925
727,365
379,365
917,569
275,795
644,526
690,229
893,637
407,448
183,879
772,409
408,991
710,490
613,832
365,728
507,924
869,376
114,628
651,601
795,437
306,756
278,893
809,21
966,996
299,340
940,873
711,644
596,445
706,134
38,321
530,831
991,21
315,471
569,298
697,134
258,628
864,507
961,78
925,549
779,418
228,707
436,933
379,51
387,991
155,924
899,612
549,460
257,399
215,991
869,105
466,101
687,770
370,604
300,823
974,438
483,262
212,914
7,883
129,72
650,718
185,283
752,321
516,485
443,223
407,371
778,775
66,347
121,589
564,309
5,892
188,468
132,13
873,438
183,483
265,628
137,637
299,802
488,384
287,532
208,83
804,437
461,51
86,957
626,134
866,772
71,278
171,728
393,685
947,352
105,852
363,142
883,161
734,86
575,353
792,43
213,201
379,430
11,734
770,435
707,819
765,132
176,276
238,817
34,835
387,390
408,755
831,510
665,13
437,34
957,262
142,752
237,455
509,685
505,954
114,831
733,455
490,678
78,478
654,601
278,115
659,776
956,298
490,51
438,258
21,399
508,775
879,490
262,238
958,750
299,567
866,136
243,544
185,858
791,654
817,369
362,392
745,11
276,769
654,942
684,278
543,688
243,516
637,337
970,132
298,752
825,832
841,389
389,567
134,965
506,819
125,862
69,183
377,630
791,925
567,644
11,733
377,688
770,377
276,562
311,42
298,50
317,270
817,51
11,69
991,369
862,353
93,633
214,134
575,897
20,408
194,408
262,336
34,178
407,183
276,365
161,862
185,183
972,285
925,510
72,142
869,321
309,992
298,972
799,795
667,13
479,43
490,775
711,309
823,869
684,581
237,972
637,188
237,376
992,751
336,9
897,873
136,751
654,137
685,278
866,136
285,13
125,311
686,835
862,992
387,408
575,869
863,685
711,353
564,488
13,51
438,483
914,799
894,702
578,71
521,510
8,78
924,445
399,9
161,223
835,437
835,651
276,188
667,278
825,427
944,817
9,399
137,8
965,775
745,65
475,994
510,488
254,684
276,804
994,132
490,142
750,991
18,438
575,964
387,770
751,34
137,510
507,665
371,208
687,751
832,408
711,276
942,304
800,770
483,399
121,837
188,906
831,51
243,445
711,488
477,800
208,69
490,575
942,662
488,69
662,399
387,770
317,445
832,644
835,831
371,925
278,254
684,418
137,644
276,835
688,399
925,866
387,483
304,776
478,728
775,201
804,353
304,285
488,799
362,336
43,365
688,490
835,862
132,78
825,408
285,651
298,9
238,835
862,276
132,651
728,800
893,804
992,243
596,238
964,942
488,337
365,823
43,362
437,581
254,835
596,942
776,817
298,119
399,835
651,799
78,702
507,490
201,490
507,644
581,799
490,78
825,490
581,387
507,392
925,437
236,254
254,478
835,142
964,575
408,776
507,819
50,78
751,799
925,50
832,387
596,408
137,243
78,371
276,825
775,371
188,187
365,78
832,483
51,776
819,477
201,651
119,490
819,399
490,438
575,254
254,819
298,276
728,188
575,78
371,862
201,800
371,311
947,992
728,254
445,596
776,353
942,437
78,800
132,478
119,862
835,596
353,835
387,825
575,353
137,942
819,799
137,142
751,285
298,477
835,947
337,408
304,371
800,208
201,964
596,478
119,43
804,51
702,43
119,119
311,43
825,490
942,78
408,800
835,243
437,119
208,490
142,337
751,477
863,78
862,804
596,298
925,387
893,775
78,387
804,445
483,751
483,298
78,775
776,304
142,800
832,776
399,893
298,751
137,644
477,644
188,254
942,644
437,119
43,208
43,862
925,702
575,254
298,142
804,947
596,799
893,437
862,862
445,751
799,596
644,437
942,702
298,702
776,408
893,751
804,276
644,947
863,776
243,490
437,800
201,137
800,188
776,201
947,399
925,142
925,947
208,575
702,408
863,490
862,201
43,477
137,477
408,304
575,201
751,702
751,490
